nid,nname
1,Hepatic lipidosis
2,postpartum anovulatory
3,high fermentable energy
4,anti-inflammatory drug
5,over-conditioning
6,metabolic disorders
7,ndf
8,push feed
9,feed delivery frequency
10,calving monitoring
11,teat sealant
12,ventilation
13,monensin
14,concentrate supplementation
15,nonstructural carbohydrate
16,starch
17,total mixed ration
18,control bcs
19,salts
20,partial dcad
21,clean water
22,propylene glycol
23,rumen protected choline
24,dietary dcad
25,feed digestibility
26,microbial supplements
